Table 1
OrderID,OrderID,CustomerID,EmployeeID,OrderYearMonthDay,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10299,10299,RICAR,4,1996September06,06.09.1996,04.10.1996,13.09.1996,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
10300,10300,MAGAA,2,1996September09,09.09.1996,07.10.1996,18.09.1996,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10301,10301,WANDK,8,1996September09,09.09.1996,07.10.1996,17.09.1996,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10302,10302,SUPRD,4,1996September10,10.09.1996,08.10.1996,09.10.1996,2,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
10303,10303,GODOS,7,1996September11,11.09.1996,09.10.1996,18.09.1996,2,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Spain
10304,10304,TORTU,1,1996September12,12.09.1996,10.10.1996,17.09.1996,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico
10305,10305,OLDWO,8,1996September13,09.13.1996,10.11.1996,10.09.1996,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10306,10306,ROMEY,1,1996September16,16.09.1996,14.10.1996,23.09.1996,3,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
10307,10307,LONEP,2,1996September17,09.17.1996,10.15.1996,09.25.1996,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10308,10308,ANATR,7,1996September18,18.09.1996,16.10.1996,24.09.1996,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,5021,Mexico
10309,10309,HUNGO,3,1996September19,19.09.1996,17.10.1996,23.10.1996,1,47.3,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10310,10310,THEBI,8,1996September20,09.20.1996,10.18.1996,09.27.1996,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10311,10311,DUMON,1,1996September20,20.09.1996,04.10.1996,26.09.1996,3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,,44000,France
10312,10312,WANDK,2,1996September23,23.09.1996,21.10.1996,03.10.1996,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10313,10313,QUICK,2,1996September24,24.09.1996,22.10.1996,04.10.1996,2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10314,10314,RATTC,1,1996September25,09.25.1996,10.23.1996,10.04.1996,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10315,10315,ISLAT,4,1996September26,26.09.1996,24.10.1996,03.10.1996,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10316,10316,RATTC,1,1996September27,09.27.1996,10.25.1996,10.08.1996,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10317,10317,LONEP,6,1996September30,09.30.1996,10.28.1996,10.10.1996,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10318,10318,ISLAT,8,1996October01,01.10.1996,29.10.1996,04.10.1996,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10319,10319,TORTU,7,1996October02,02.10.1996,30.10.1996,11.10.1996,3,64.5,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,5033,Mexico
10320,10320,WARTH,5,1996October03,03.10.1996,17.10.1996,18.10.1996,3,34.57,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10321,10321,ISLAT,3,1996October03,03.10.1996,31.10.1996,11.10.1996,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10322,10322,PERIC,7,1996October04,04.10.1996,01.11.1996,23.10.1996,3,0.4,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,5033,Mexico
10323,10323,KOENE,4,1996October07,07.10.1996,04.11.1996,14.10.1996,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
10324,10324,SAVEA,9,1996October08,10.08.1996,11.05.1996,10.10.1996,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10325,10325,KOENE,1,1996October09,09.10.1996,23.10.1996,14.10.1996,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
10326,10326,BOLID,4,1996October10,10.10.1996,07.11.1996,14.10.1996,2,77.92,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,,28023,Spain
10327,10327,FOLKO,2,1996October11,11.10.1996,08.11.1996,14.10.1996,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10328,10328,FURIB,4,1996October14,14.10.1996,11.11.1996,17.10.1996,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10329,10329,SPLIR,4,1996October15,10.15.1996,11.26.1996,10.23.1996,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10330,10330,LILAS,3,1996October16,16.10.1996,13.11.1996,28.10.1996,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,10331,BONAP,9,1996October16,16.10.1996,27.11.1996,21.10.1996,1,10.19,Bon app',"12, rue des Bouchers",Marseille,,13008,France
10332,10332,MEREP,3,1996October17,17.10.1996,28.11.1996,21.10.1996,2,52.84,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10333,10333,WARTH,5,1996October18,18.10.1996,15.11.1996,25.10.1996,3,0.59,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
10334,10334,VICTE,8,1996October21,21.10.1996,18.11.1996,28.10.1996,2,8.56,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
10335,10335,HUNGO,7,1996October22,22.10.1996,19.11.1996,24.10.1996,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10336,10336,PRINI,7,1996October23,23.10.1996,20.11.1996,25.10.1996,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
10337,10337,FRANK,4,1996October24,24.10.1996,21.11.1996,29.10.1996,3,108.26,Frankenversand,Berliner Platz 43,München,,80805,Germany
10338,10338,OLDWO,4,1996October25,10.25.1996,11.22.1996,10.29.1996,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10339,10339,MEREP,2,1996October28,28.10.1996,25.11.1996,04.11.1996,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10340,10340,BONAP,1,1996October29,29.10.1996,26.11.1996,08.11.1996,3,166.31,Bon app',"12, rue des Bouchers",Marseille,,13008,France
10341,10341,SIMOB,7,1996October29,29.10.1996,26.11.1996,05.11.1996,3,26.78,Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark
10342,10342,FRANK,4,1996October30,30.10.1996,13.11.1996,04.11.1996,2,54.83,Frankenversand,Berliner Platz 43,München,,80805,Germany
10343,10343,LEHMS,4,1996October31,31.10.1996,28.11.1996,06.11.1996,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
10344,10344,WHITC,4,1996November01,11.01.1996,11.29.1996,11.05.1996,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10345,10345,QUICK,2,1996November04,04.11.1996,02.12.1996,11.11.1996,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10346,10346,RATTC,3,1996November05,11.05.1996,12.17.1996,11.08.1996,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10347,10347,FAMIA,4,1996November06,06.11.1996,04.12.1996,08.11.1996,3,3.1,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
10348,10348,WANDK,4,1996November07,07.11.1996,05.12.1996,15.11.1996,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10349,10349,SPLIR,7,1996November08,11.08.1996,12.06.1996,11.15.1996,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,10350,LAMAI,6,1996November11,11.11.1996,09.12.1996,03.12.1996,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10351,10351,ERNSH,1,1996November11,11.11.1996,09.12.1996,20.11.1996,1,162.33,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10352,10352,FURIB,3,1996November12,12.11.1996,26.11.1996,18.11.1996,3,1.3,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10353,10353,PICCO,7,1996November13,13.11.1996,11.12.1996,25.11.1996,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
10354,10354,PERIC,8,1996November14,14.11.1996,12.12.1996,20.11.1996,3,53.8,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,5033,Mexico
10355,10355,AROUT,6,1996November15,15.11.1996,13.12.1996,20.11.1996,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10356,10356,WANDK,6,1996November18,18.11.1996,16.12.1996,27.11.1996,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
10357,10357,LILAS,1,1996November19,19.11.1996,17.12.1996,02.12.1996,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,10358,LAMAI,5,1996November20,20.11.1996,18.12.1996,27.11.1996,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10359,10359,SEVES,5,1996November21,21.11.1996,19.12.1996,26.11.1996,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10360,10360,BLONP,4,1996November22,22.11.1996,20.12.1996,02.12.1996,3,131.7,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France
10361,10361,QUICK,1,1996November22,22.11.1996,20.12.1996,03.12.1996,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,,1307,Germany
10362,10362,BONAP,3,1996November25,25.11.1996,23.12.1996,28.11.1996,1,96.04,Bon app',"12, rue des Bouchers",Marseille,,13008,France
10363,10363,DRACD,4,1996November26,26.11.1996,24.12.1996,04.12.1996,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
10364,10364,EASTC,1,1996November26,26.11.1996,07.01.1997,04.12.1996,1,71.97,Eastern Connection,35 King George,London,,WX3 6FW,UK
10365,10365,ANTON,3,1996November27,27.11.1996,25.12.1996,02.12.1996,2,22,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,5023,Mexico
10366,10366,GALED,8,1996November28,28.11.1996,09.01.1997,30.12.1996,2,10.14,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,,8022,Spain
10367,10367,VAFFE,7,1996November28,28.11.1996,26.12.1996,02.12.1996,3,13.55,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
10368,10368,ERNSH,2,1996November29,29.11.1996,27.12.1996,02.12.1996,2,101.95,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10369,10369,SPLIR,8,1996December02,12.02.1996,12.30.1996,12.09.1996,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10370,10370,CHOPS,6,1996December03,03.12.1996,31.12.1996,27.12.1996,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland
10371,10371,LAMAI,1,1996December03,03.12.1996,31.12.1996,24.12.1996,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
10372,10372,QUEEN,5,1996December04,04.12.1996,01.01.1997,09.12.1996,2,890.78,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil
10373,10373,HUNGO,4,1996December05,05.12.1996,02.01.1997,11.12.1996,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10374,10374,WOLZA,1,1996December05,05.12.1996,02.01.1997,09.12.1996,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Poland
10375,10375,HUNGC,3,1996December06,12.06.1996,01.03.1997,12.09.1996,2,20.12,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10376,10376,MEREP,1,1996December09,09.12.1996,06.01.1997,13.12.1996,2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10377,10377,SEVES,1,1996December09,09.12.1996,06.01.1997,13.12.1996,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10378,10378,FOLKO,5,1996December10,10.12.1996,07.01.1997,19.12.1996,3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
10379,10379,QUEDE,2,1996December11,11.12.1996,08.01.1997,13.12.1996,1,45.03,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
10380,10380,HUNGO,8,1996December12,12.12.1996,09.01.1997,16.01.1997,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
10381,10381,LILAS,3,1996December12,12.12.1996,09.01.1997,13.12.1996,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,10382,ERNSH,4,1996December13,13.12.1996,10.01.1997,16.12.1996,1,94.77,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10383,10383,AROUT,8,1996December16,16.12.1996,13.01.1997,18.12.1996,3,34.24,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10384,10384,BERGS,3,1996December16,16.12.1996,13.01.1997,20.12.1996,3,168.64,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
10385,10385,SPLIR,1,1996December17,12.17.1996,01.14.1997,12.23.1996,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10386,10386,FAMIA,9,1996December18,18.12.1996,01.01.1997,25.12.1996,3,13.99,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
10387,10387,SANTG,1,1996December18,18.12.1996,15.01.1997,20.12.1996,2,93.63,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway
10388,10388,SEVES,2,1996December19,19.12.1996,16.01.1997,20.12.1996,1,34.86,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
10389,10389,BOTTM,4,1996December20,20.12.1996,17.01.1997,24.12.1996,2,47.42,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10390,10390,ERNSH,6,1996December23,23.12.1996,20.01.1997,26.12.1996,1,126.38,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10391,10391,DRACD,3,1996December23,23.12.1996,20.01.1997,31.12.1996,3,5.45,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
10392,10392,PICCO,2,1996December24,24.12.1996,21.01.1997,01.01.1997,3,122.46,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
10393,10393,SAVEA,1,1996December25,12.25.1996,01.22.1997,01.03.1997,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10394,10394,HUNGC,1,1996December25,12.25.1996,01.22.1997,01.03.1997,3,30.34,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
10395,10395,HILAA,6,1996December26,26.12.1996,23.01.1997,03.01.1997,1,184.41,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10396,10396,FRANK,1,1996December27,27.12.1996,10.01.1997,06.01.1997,3,135.35,Frankenversand,Berliner Platz 43,München,,80805,Germany
10397,10397,PRINI,5,1996December27,27.12.1996,24.01.1997,02.01.1997,1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
10398,10398,SAVEA,2,1996December30,12.30.1996,01.27.1997,01.09.1997,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10399,10399,VAFFE,8,1996December31,31.12.1996,14.01.1997,08.01.1997,3,27.36,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
10400,10400,EASTC,1,1997January01,01.01.1997,29.01.1997,16.01.1997,3,83.93,Eastern Connection,35 King George,London,,WX3 6FW,UK
10401,10401,RATTC,1,1997January01,01.01.1997,01.29.1997,01.10.1997,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10402,10402,ERNSH,8,1997January02,02.01.1997,13.02.1997,10.01.1997,2,67.88,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10403,10403,ERNSH,4,1997January03,03.01.1997,31.01.1997,09.01.1997,3,73.79,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
10404,10404,MAGAA,2,1997January03,03.01.1997,31.01.1997,08.01.1997,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
10405,10405,LINOD,1,1997January06,06.01.1997,03.02.1997,22.01.1997,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
10406,10406,QUEEN,7,1997January07,07.01.1997,18.02.1997,13.01.1997,1,108.04,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil
10407,10407,OTTIK,2,1997January07,07.01.1997,04.02.1997,30.01.1997,2,91.48,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
10408,10408,FOLIG,8,1997January08,08.01.1997,05.02.1997,14.01.1997,1,11.26,Folies gourmandes,"184, chaussée de Tournai",Lille,,59000,France
10409,10409,OCEAN,3,1997January09,09.01.1997,06.02.1997,14.01.1997,1,29.83,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina
10410,10410,BOTTM,3,1997January10,10.01.1997,07.02.1997,15.01.1997,3,2.4,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
10411,10411,BOTTM,9,1997January10,10.01.1997,07.02.1997,21.01.1997,3,23.65,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
